session_depth;demo.guru99.com%3D2%7C224278574%3D2;demo.guru99.com;/;Thu Mar 28 13:22:50 IST 2019;false
session_depth;demo.guru99.com%3D2%7C224278574%3D2;demo.guru99.com;/;Thu Mar 28 13:22:50 IST 2019;false
bfp_sn_pl;1553757767_247292555282;.guru99.com;/;Thu Mar 28 13:22:50 IST 2019;false
bfp_sn_pl;1553757767_247292555282;.guru99.com;/;Thu Mar 28 13:22:50 IST 2019;false
bafp;49b84480-512a-11e9-be73-359e23cc2684;.demo.guru99.com;/;Tue Dec 31 05:30:00 IST 2030;false
bafp;49b84480-512a-11e9-be73-359e23cc2684;.demo.guru99.com;/;Tue Dec 31 05:30:00 IST 2030;false
_ga;GA1.2.973197165.1553757765;.guru99.com;/;Sat Mar 27 12:52:49 IST 2021;false
_ga;GA1.2.973197165.1553757765;.guru99.com;/;Sat Mar 27 12:52:49 IST 2021;false
_gat_gtag_UA_1248015_24;1;.guru99.com;/;Thu Mar 28 12:53:45 IST 2019;false
_gat_gtag_UA_1248015_24;1;.guru99.com;/;Thu Mar 28 12:53:45 IST 2019;false
bfp_sn_rf_8b2087b102c9e3e5ffed1c1478ed8b78;Direct;.guru99.com;/;Tue Dec 31 05:30:00 IST 2030;false
bfp_sn_rf_8b2087b102c9e3e5ffed1c1478ed8b78;Direct;.guru99.com;/;Tue Dec 31 05:30:00 IST 2030;false
Selenium;abc123;demo.guru99.com;/test/cookie;null;false
Selenium;abc123;demo.guru99.com;/test/cookie;null;false
bfp_sn_rt_8b2087b102c9e3e5ffed1c1478ed8b78;1553757765732;.guru99.com;/;Tue Dec 31 05:30:00 IST 2030;false
bfp_sn_rt_8b2087b102c9e3e5ffed1c1478ed8b78;1553757765732;.guru99.com;/;Tue Dec 31 05:30:00 IST 2030;false
_gid;GA1.2.226258940.1553757765;.guru99.com;/;Fri Mar 29 12:52:49 IST 2019;false
_gid;GA1.2.226258940.1553757765;.guru99.com;/;Fri Mar 29 12:52:49 IST 2019;false
